4	tweet_textual_content	len	ID	Date	Source	Likes	RTs
59	RT @iyanfidael: Aladdin: I CAN SHO- https://t.co/PR5cmMOazT	59	1140949182842171392	Tue Jun 18 11:47:37 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	2723
60	RT @pixiekino: me trying to agree with people who say something other than spring snow is the best bside in genie:us https://t.co/NKBuzKQtKL	140	1140949475428425728	Tue Jun 18 11:48:47 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	7
61	"Adik ku sebelum nonton aladdin: apaan jelek princess nya item prince nya item

Setelah nonton: Make a waaay for pri… https://t.co/0doA7SJmvN"	140	1140949267940384768	Tue Jun 18 11:47:57 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
62	"RT @SJofficial: #YESUNG #예성 The 3rd Mini Album [#PinkMagic]
💗Melon: https://t.co/KEuAqnKoi6
💗FLO: https://t.co/GddQ3Gg32r
💗Genie: https://t…"	143	1140949161535311873	Tue Jun 18 11:47:32 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	2684
63	Disini ada yang ngerti cara streaming dan vote di genie?	56	1140948934728175616	Tue Jun 18 11:46:38 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
64	"RT @BTSLAB_twt: 19/0618🇰🇷BTS Music Chart→20:00

📊방탄소년단 BoyWithLuv 실시간차트
[#아미가_스ㅁb할게_방탄은_음악만해]

#7 Melon
#7 FLO🔻1
#10 olleh 🔻1
#10 genie 🔻1…"	145	1140948997533659144	Tue Jun 18 11:46:53 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	52
65	"RT @SJofficial: #YESUNG #예성 The 3rd Mini Album [#PinkMagic]
💗Melon: https://t.co/KEuAqnKoi6
💗FLO: https://t.co/GddQ3Gg32r
💗Genie: https://t…"	143	1140949501504565248	Tue Jun 18 11:48:53 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	2684
66	"THURS JUNE 20 - MON JUNE 24
TOY STORY 4 [G] 8:55+ALADDIN [PG] 10:35; MEN IN BLACK: INTERNATIONAL [PG13] 8:55+GODZIL… https://t.co/L0JwkG8Nfi"	140	1140949351025561600	Tue Jun 18 11:48:17 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	0
67	@alinanishark @auniliyana @sheisadi @snafiqaha @aniehusin_ Dia berlakon cerita Aladdin	86	1140949389038325763	Tue Jun 18 11:48:26 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
68	"[genie][공유]서울 밤 (Feat. 빈지노) - 어반 자카파 (Urban Zakapa)
https://t.co/dfm094pbfL"	75	1140949038302318593	Tue Jun 18 11:47:03 +0000 2019	"<a href=""http://www.genie.co.kr"" rel=""nofollow"">iGenieMusic</a>"	0	0
69	"RT @sabtv: Dene Ali ka saath, ek nahi, do nahi balki 3 ginn thaamenge uska haath! 

Dekhiye chaaron milkar kaise likhenge, Aladdin ke inteq…"	140	1140949032249880576	Tue Jun 18 11:47:01 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	12
70	"RT @SJofficial: #YESUNG #예성 The 3rd Mini Album [#PinkMagic]
💗Melon: https://t.co/KEuAqnKoi6
💗FLO: https://t.co/GddQ3Gg32r
💗Genie: https://t…"	143	1140949586976096256	Tue Jun 18 11:49:14 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	2684
71	"RT @ibtsblogs: bwl genie’de 40m streami geride bıraktı

spotify aylık en çok dinleyici sayısına sahip olan koreli sanatçı bts

a brand new…"	139	1140949418910371840	Tue Jun 18 11:48:33 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	16
72	"[genie] [메세지] 
[공유] ♬Normal (Stripped) - Sasha Sloan
 https://t.co/jKG5qPw0SP"	77	1140949495460446209	Tue Jun 18 11:48:52 +0000 2019	"<a href=""http://www.genie.co.kr"" rel=""nofollow"">iGenieMusic</a>"	0	0
73	"RT @saddiepunk: aladdin: *risk his life only for princess jasmine*

jafar: https://t.co/6q90ibHXIx"	98	1140949256745865216	Tue Jun 18 11:47:55 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	676
74	RT @KidPaiEngg: “ถ้าไม่สู้เพื่อสิ่งที่ต้องการ ก็อย่าร้องไห้กับสิ่งที่ต้องเสียไป” -Will Smith	92	1140949372110159873	Tue Jun 18 11:48:22 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	13938
75	"RT @SJofficial: #YESUNG #예성 The 3rd Mini Album [#PinkMagic]
💗Melon: https://t.co/KEuAqnKoi6
💗FLO: https://t.co/GddQ3Gg32r
💗Genie: https://t…"	143	1140949397238403072	Tue Jun 18 11:48:28 +0000 2019	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0	2684
76	RT @KidPaiEngg: “ถ้าไม่สู้เพื่อสิ่งที่ต้องการ ก็อย่าร้องไห้กับสิ่งที่ต้องเสียไป” -Will Smith	92	1140949362752679936	Tue Jun 18 11:48:20 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	13938
77	@Ashton5SOS is it will smith	28	1140949027401404416	Tue Jun 18 11:47:00 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
78	"RT @SerieTV46: #BTS ""Boy with Luv"" MV feat. Halsey - 19:00 KST:

#6 FLO (=)
#7 MelOn (-1)
#9 Genie (=)
#10 Soribada (+1)
#11 Bugs (=)
#11 M…"	140	1140949051980111872	Tue Jun 18 11:47:06 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	193
79	RT @MenaMassoud: Smiling because #Aladdin is the number 1 movie in the UK for the 4th weekend in a row! Thanks so much for all your support…	140	1140949131596140544	Tue Jun 18 11:47:25 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	6120
80	RT @MajorGroup: โอกาสสุดท้ายก่อนพลาด รีบคว้าตะเกียงวิเศษแล้วขอ #พร3ประการ ไปกับหนังแอ็คชั่น-แฟนตาซีสุดตระการตาแห่งปี Disney's #Aladdin อะลา…	140	1140949050310586370	Tue Jun 18 11:47:06 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	5
81	Aladdin - A Whole New World (Mother/Son Duet) https://t.co/Jm1bRbCB35 via @YouTube SEDAPP GILOSSSSS. Tapi sebak. Pastu nangess. 😔	130	1140949440053694464	Tue Jun 18 11:48:38 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
82	Hmm... Asan na kaya si Aladdin? 🤭🤭🤭 @ SM North EDSA https://t.co/Frl4kdl0WT	78	1140949513009373184	Tue Jun 18 11:48:56 +0000 2019	"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"	0	0
